State,USA
02/02/20,23
02/07/20,67
02/14/20,89
02/21/20,185
02/28/20,710
03/06/20,3841
03/13/20,20541
03/20/20,86813
03/27/20,175509
04/03/20,218594
04/10/20,203965
04/17/20,369152
04/30/20,186402
05/07/20,162049
05/14/20,161264
05/21/20,147855
05/28/20,153073
06/04/20,152626
06/11/20,178506
06/18/20,248519
06/25/20,336290
07/02/20,386287
07/09/20,457722
07/16/20,459894
07/23/20,434000
07/30/20,380363
08/06/20,344574
08/13/20,299593
08/20/20,283313
08/27/20,275209
09/03/20,242931
09/10/20,273368
09/17/20,295007
09/24/20,300230
10/1/20,322531
10/8/20,375670
10/15/20,428606
10/22/20,528654
10/29/20,757370
11/5/20,937424
11/12/20,1159278
11/19/20,1194522
11/26/20,1290825
12/3/20,1494761
12/10/20,1502671
12/17/20,1377929
12/24/20,1371171
12/31/20,1627108
01/07/21,1593987
01/14/21,1275830
01/21/21,1053586
01/28/21,879669
02/04/21,682266
02/11/21,480461
02/18/21,458339
02/25/21,420108
03/04/21,371699
03/11/21,370992
03/18/21,400677
03/25/21,455532
04/01/21,459850
04/08/21,473950
04/15/21,423893
04/22/21,353173
04/29/21,305450
05/06/21,242039
05/13/21,197400
05/20/21,150344
05/27/21,103745
06/03/21,95852
06/10/21,72533
06/17/21,80333
06/24/21,103674
07/01/21,121883
07/08/21,217225
07/15/21,329080
07/22/21,499912
07/29/21,697481
08/05/21,853568
08/12/21,932011
08/19/21,1056175
08/26/21,1095512
09/02/21,1002237
09/09/21,1007645
09/16/21,897167
09/23/21,760150
09/30/21,689132
10/7/21,599972
10/14/21,498343
10/21/21,504726
10/28/21,490061
11/4/21,525234
,
