State,Covid Cases,Name
AK,136822,Alaska
AL,838114,Alabama
AR,516203,Arkansas
AZ,1202902,Arizona
CA,4719201,California
CO,781418,Colorado
CT,407292,Connecticut
DC,65159,District of Columbia
DE,146800,Delaware
FL,3666858,Florida
GA,1271271,Georgia
HI,85490,Hawaii
IA,500119,Iowa
ID,298632,Idaho
IL,1731966,Illinois
IN,1050648,Indiana
KS,445089,Kansas
KY,757016,Kentucky
LA,763628,Louisiana
MA,810850,Massachusetts
MD,568914,Maryland
ME,110347,Maine
MI,1329089,Michigan
MN,836787,Minnesota
MO,866018,Missouri
MS,507775,Mississippi
MT,183213,Montana
NC,1497688,North Carolina
ND,153425,North Dakota
NE,294247,Nebraska
NH,142670,New Hampshire
NJ,1213246,New Jersey
NM,288557,New Mexico
NV,458491,Nevada
NY,2585194,New York
OH,1590792,Ohio
OK,650649,Oklahoma
OR,376374,Oregon
PA,1613315,Pennsylvania
RI,182486,Rhode Island
SC,905182,South Carolina
SD,158822,South Dakota
TN,1292195,Tennessee
TX,4259194,Texas
UT,567665,Utah
VA,941371,Virginia
VT,43521,Vermont
WA,746354,Washington
WI,917405,Wisconsin
WV,280727,West Virginia
WY,106698,Wyoming
