Date,Year,Quarter,U.S. Average (Current $) ,U.S. Average (Inflation-Adjusted $) 
1/1/18,2018,1,346.49,375.05
4/1/2018,2018,2,349.12,373.89
7/1/2018,2018,3,343.28,366.59
10/1/2018,2018,4,359.30,383.90
1/1/2019,2019,1,350.12,372.85
4/1/2019,2019,2,357.07,375.75
7/1/2019,2019,3,345.09,362.15
10/1/2019,2019,4,356.51,373.34
1/1/20,2020,1,336.13,350.53
4/1/2020,2020,2,259.17,271.74
7/1/2020,2020,3,244.79,253.79
10/1/2020,2020,4,260.79,269.76
1/1/21,2021,1,260.31,266.40
4/1/2021,2021,2,299.93,299.93
